Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
194,12613632,OPENJPA-2286,2.2.0,1.2.2,"2.2.0","2.4.0"
195,12613539,OPENJPA-2284,2.0.1,1.2.2,"2.0.1;2.2.1;2.3.0","2.2.2;2.3.0"
196,12613027,OPENJPA-2282,2.3.0,1.2.2,"2.3.0","2.3.0"
197,12609885,OPENJPA-2271,N/A,1.2.2,"","2.3.0"
198,12609437,OPENJPA-2269,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
199,12609165,OPENJPA-2267,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
200,12606907,OPENJPA-2261,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.2.1;2.3.0"
201,12606896,OPENJPA-2260,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.2.1;2.3.0"
202,12605972,OPENJPA-2257,N/A,1.2.2,"","2.2.2;2.3.0"
203,12605631,OPENJPA-2255,2.1.1,1.2.2,"2.1.1","2.3.0"
204,12604028,OPENJPA-2253,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
205,12601384,OPENJPA-2247,2.0.1,1.2.2,"2.0.1;2.2.1;2.3.0","2.2.1;2.3.0"
206,12601211,OPENJPA-2245,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0;2.4.2"
207,12601129,OPENJPA-2244,2.0.1,1.2.2,"2.0.1;2.1.1;2.2.0","2.2.2;2.3.0"
208,12600145,OPENJPA-2240,2.2.0,1.2.2,"2.2.0;2.2.1;2.3.0","2.2.2;2.3.0"
209,12599852,OPENJPA-2238,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
210,12599542,OPENJPA-2236,2.2.1,1.2.2,"2.2.1;2.3.0","2.2.1;1.2.3;2.3.0"
211,12599487,OPENJPA-2235,2.1.1,1.2.2,"2.1.1;2.2.0;2.3.0","2.2.2;2.3.0"
212,12599438,OPENJPA-2234,2.0.1,1.2.2,"2.0.1","2.3.0"
213,12599130,OPENJPA-2233,2.0.1,1.2.2,"2.0.1;2.1.0;2.2.0;2.3.0","2.2.2;2.4.0"
214,12598746,OPENJPA-2230,2.2.1,1.2.2,"2.2.1;2.3.0","2.2.1;2.3.0"
215,12598564,OPENJPA-2229,2.2.0,1.2.2,"2.2.0;2.2.1;2.3.0","2.3.0"
216,12598245,OPENJPA-2228,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
217,12598075,OPENJPA-2227,2.0.0,1.2.2,"2.0.0;2.1.0;2.2.0","2.2.1;2.3.0"
218,12596262,OPENJPA-2221,2.1.0,1.2.2,"2.1.0","2.1.1;2.3.0"
219,12595074,OPENJPA-2215,2.2.0,1.2.2,"2.2.0",""
220,12560527,OPENJPA-2212,1.0.3,1.2.2,"1.0.3",""
221,12558784,OPENJPA-2204,2.2.1,1.2.2,"2.2.1;2.3.0","2.3.0"
222,12556252,OPENJPA-2199,2.0.0,1.2.2,"2.0.0;2.1.0;2.2.0;2.3.0","2.2.1;2.3.0"
223,12556135,OPENJPA-2197,2.2.0,1.2.2,"2.2.0","2.3.0"
224,12555953,OPENJPA-2196,2.2.0,1.2.2,"2.2.0","2.2.2;2.3.0"
225,12555891,OPENJPA-2195,2.0.0,1.2.2,"2.0.0;2.0.1;2.1.0;2.1.1;2.2.0",""
226,12555011,OPENJPA-2191,2.0.0,1.2.2,"2.0.0;2.1.0;2.2.0;2.3.0","2.3.0"
227,12554482,OPENJPA-2187,2.2.0,1.2.2,"2.2.0","2.3.0"
228,12553160,OPENJPA-2182,2.3.0,1.2.2,"2.3.0","3.2.0"
229,12553120,OPENJPA-2180,2.2.0,1.2.2,"2.2.0","2.3.0"
230,12552847,OPENJPA-2178,2.2.0,1.2.2,"2.2.0","2.3.0"
231,12551298,OPENJPA-2174,2.1.0,1.2.2,"2.1.0;2.2.0","2.2.1;2.3.0"
232,12550858,OPENJPA-2172,2.2.0,1.2.2,"2.2.0;2.2.1;2.3.0","2.2.2;2.3.0"
233,12550430,OPENJPA-2170,2.2.0,1.2.2,"2.2.0;2.3.0","2.3.0"
234,12548387,OPENJPA-2163,2.0.1,1.2.2,"2.0.1;2.2.1;2.3.0","2.2.1;2.3.0"
235,12548006,OPENJPA-2161,2.2.0,1.2.2,"2.2.0;2.3.0","2.2.1;2.3.0"
236,12547441,OPENJPA-2158,2.1.1,1.2.2,"2.1.1;2.2.0;2.3.0","2.2.1;2.3.0"
237,12546817,OPENJPA-2156,2.2.0,1.2.2,"2.2.0;2.3.0","2.2.1;2.3.0"
238,12546055,OPENJPA-2154,2.2.0,1.2.2,"2.2.0;2.3.0","2.2.1;2.3.0"
239,12545916,OPENJPA-2153,2.2.0,1.2.2,"2.2.0;2.3.0","2.2.1;2.3.0"
240,12545137,OPENJPA-2149,2.0.1,1.2.2,"2.0.1;2.1.1","2.2.1;2.3.0"
